userId,movieId,rating,timestamp
577,2161,2.0,945965825
600,5970,3.0,1237852045
331,3535,5.0,1537157975
282,2542,4.0,1378491792
64,1061,3.5,1161620573
391,1396,3.0,1030826859
562,2003,4.5,1368897653
307,2706,2.5,1186084895
398,7361,4.0,1311207930
59,480,3.0,953609415
288,534,4.0,976121266
500,216,4.0,1005527406
376,1252,4.0,1364933031
68,647,3.5,1158535929
567,112623,2.0,1525288584
156,5060,4.0,946799037
372,800,2.0,874415402
263,8014,4.5,1090948309
43,810,5.0,848995009
380,6794,3.0,1494036344
89,78469,4.0,1520409011
274,1721,3.5,1171492429
177,750,4.0,1435533769
608,2908,1.0,1117490925
603,440,4.0,954482505
368,1965,4.0,971273448
202,912,5.0,974912380
318,162,3.5,1333827211
318,71156,4.5,1278488257
68,2916,2.0,1158532183
246,838,4.0,1354126122
11,434,3.0,902154685
254,293,4.5,1180447547
323,7153,2.5,1422640081
480,3301,2.0,1179159628
305,8014,4.0,1516132508
605,50796,2.0,1277176884
111,6586,1.5,1516141365
6,237,4.0,845553875
534,1377,3.5,1459787996
564,46970,4.5,1478451527
387,2632,4.0,1198912555
542,4446,3.5,1163388410
609,786,3.0,847221025
292,1291,4.5,1265680458
169,317,5.0,1078284717
284,153,3.0,832695146
232,38061,3.5,1184190536
111,4018,3.5,1516140994
414,59369,3.5,1283877039
156,235,4.0,946799400
477,64231,3.0,1229452272
487,4306,4.0,1428574200
606,2203,4.0,1171363146
105,91658,4.0,1446571953
414,5809,4.0,1050766543
514,1326,1.5,1534086679
19,1831,2.0,965704033
322,2599,3.5,1217676779
509,6889,3.0,1435996402
39,2137,1.0,974788976
74,40629,3.5,1207501885
217,3258,3.0,955944976
91,1954,5.0,1112713821
125,70286,4.0,1474481068
399,356,5.0,1167220295
405,1084,4.0,1295922337
111,140110,4.5,1516141864
317,96811,3.0,1430514479
80,2232,4.0,1377308167
119,3452,5.0,1435944634
599,8604,2.5,1498516696
292,3745,3.0,1015374622
38,282,3.0,841341447
469,3363,4.0,965336980
182,7076,4.0,1075800952
414,1907,4.0,1039532289
261,2571,4.0,1404881429
391,3271,4.0,1032388582
606,6684,4.0,1171500710
122,5171,3.5,1461563005
517,1610,0.5,1487957815
339,8464,4.5,1460794282
531,3699,3.0,1032961914
498,110,5.0,839197320
506,112552,3.5,1424486897
140,8961,4.5,1115290248
83,68954,4.5,1332840492
362,6934,4.0,1530639898
249,68659,3.0,1356550226
171,1193,5.0,866905795
249,122922,4.5,1487029404
474,6807,3.5,1129579428
187,3681,4.5,1161849748
474,1377,2.0,1046886462
140,2775,1.0,949666667
42,231,4.0,996220872
573,2,4.5,1187044862
7,2701,1.5,1106713076
599,2872,3.5,1498501391
62,59501,4.0,1525637504
219,673,3.5,1195699156
27,2640,4.0,962686758
597,288,3.0,941730541
489,5135,4.5,1333234462
122,923,5.0,1461562092
63,7254,2.5,1443290300
153,106696,2.5,1525552648
1,1213,5.0,964982951
288,1653,4.0,975692044
353,39,1.0,831939750
111,3489,3.5,1516156038
84,1210,4.0,858771139
162,225,3.0,836511263
274,41569,3.0,1171428482
517,78637,1.5,1487957992
170,296,2.0,840380834
391,296,5.0,1030827757
391,4235,2.0,1030943882
606,6376,4.5,1171500840
608,2505,3.5,1117507250
274,6593,2.0,1177986754
62,1270,4.5,1521822319
91,1584,3.0,1112711146
182,1732,4.5,1054780737
359,8533,4.5,1194402776
590,1393,3.0,1258420820
414,122882,5.0,1485656726
294,1005,1.0,966596382
419,56174,3.5,1318338440
509,5971,4.0,1435992329
395,410,3.0,841503627
294,1967,2.0,966634162
405,370,4.0,1295921641
75,4369,2.5,1158967388
474,899,4.0,1083589280
452,1214,4.0,1013394673
605,72982,4.0,1277096200
510,1020,3.0,1141159353
414,1234,5.0,961595392
606,899,4.0,1171501243
414,58156,2.0,1273978067
610,91529,4.5,1493844922
64,4027,4.0,1161520105
18,4896,3.5,1456923934
606,2571,5.0,1171325929
380,3917,3.0,1495475489
345,4465,3.5,1342827680
460,40815,4.0,1359178062
380,65514,5.0,1494696245
448,2683,4.5,1092562805
391,1225,5.0,1030827784
28,5349,3.5,1234515706
266,541,5.0,944941046
600,45186,3.0,1237760083
474,4709,2.5,1066654775
474,2844,3.0,1104518783
586,58105,4.0,1529901595
241,593,4.5,1447536097
534,8640,4.5,1459795358
110,1222,4.0,1175329966
182,1909,2.0,1075859283
115,1617,4.0,944950887
274,7324,3.5,1197016908
495,53322,4.0,1458635896
15,112556,4.5,1510572466
298,2371,3.5,1447584707
274,2296,3.5,1221685985
603,2073,4.0,953928295
566,597,3.0,849005614
307,5452,1.0,1186172383
596,143355,4.5,1535709024
597,1345,5.0,941640433
